Job Title,Company,Salary,Address
Android Developer (Middle - Senior),CÔNG TY CỔ PHẦN GIAO HÀNG TIẾT KIỆM,"1,000 - 2,000 usd",Hà Nội
Nhân Viên Triển Khai Giải Pháp Microsoft,Công ty TNHH Thương mại và Dịch vụ TSG,15 - 30 triệu VND,"Hà Nội, Hồ Chí Minh"
Database Administrator (Dba),CÔNG TY TNHH SAMSUNG SDS VIỆT NAM,thoả thuận,Hà Nội
Blockchain Engineer,Công ty cổ phần Techcom Blockchain,thoả thuận,Hà Nội
Business Development Manager,Công ty cổ phần Techcom Blockchain,"3,000 usd",Hà Nội
Business Analyst,"CÔNG TY TNHH CÔNG NGHỆ GIA ĐÌNH (FTECH CO., LTD)",thoả thuận,Hà Nội
Chuyên Gia Kỹ Thuật Truyền Hình,CÔNG TY TNHH TRUYỀN HÌNH FPT,thoả thuận,Hồ Chí Minh
Thực Tập Sinh Content,Công ty Cổ phần viễn thông FPT,thoả thuận,Hà Nội
IT Manager,CÔNG TY CỔ PHẦN TẬP ĐOÀN GOLDEN GATE,thoả thuận,Hà Nội
Data Engineer,CÔNG TY TNHH Công nghệ và Thương mại LIFESUP,18 - 35 triệu VND,Hà Nội
Chuyên Viên Tư Vấn Giải Pháp AI,CÔNG TY CỔ PHẦN GIẢI PHÁP CÔNG NGHỆ TURBO,thoả thuận,Hồ Chí Minh
"IT Support (English, Network, Ccna..)",Công Ty TNHH MTV Viễn Thông Quốc Tế FPT,thoả thuận,Hà Nội
Nhân Viên Kinh Doanh Sản Phẩm,CÔNG TY CỔ PHẦN CÔNG NGHỆ VÀ TRUYỀN THÔNG TCOM,12 - 18 triệu VND,Hà Nội
Nhân Viên Tester,CÔNG TY TNHH HÓA ĐƠN ĐIỆN TỬ M-INVOICE,8 - 15 triệu VND,Hà Nội
Tester,CÔNG TY CỔ PHẦN CÔNG NGHỆ VÀ TRUYỀN THÔNG TCOM,10 - 20 triệu VND,Hà Nội
Kỹ Thuật Viên Google Ads,CÔNG TY CỔ PHẦN AGLOBAL,7 - 10 triệu VND,Hà Nội
Chuyên Viên SEO Digital Marketing - SEO Executive  (TPHCM Lương 10 - 15 Triệu),CÔNG TY TNHH SẢN XUẤT PHẦN MỀM VI NA,10 - 15 triệu VND,Hồ Chí Minh
Devops Engineer,Công ty cổ phần Hạ tầng Viễn thông CMC Telecom,thoả thuận,Hà Nội
Fresher Network (Thực Tập Sinh Mạng),Công ty cổ phần Hạ tầng Viễn thông CMC Telecom,3 triệu VND,Hà Nội
Sales IT N2,"TOMOSIA Co.,Ltd",10 - 15 triệu VND,Hà Nội
Product Sales,Công ty Cổ phần Phần mềm Việt Quốc tế (VSII),thoả thuận,Hà Nội
Lập Trình Viên Flutter,Công ty cổ phần EMSO Việt Nam,15 - 20 triệu VND,Hà Nội
Senior Business Analyst,CÔNG TY CỔ PHẦN CÔNG NGHỆ VÀ GIẢI PHÁP SC,thoả thuận,Hà Nội
Chuyên Viên Phát Triển Ứng Dụng .Net Developer,CÔNG TY CP CHỨNG KHOÁN RỒNG VIỆT,12 - 20 triệu VND,Hồ Chí Minh
Fullstack Developer,CÔNG TY CỔ PHẦN CÔNG NGHỆ VÀ GIẢI PHÁP SC,thoả thuận,Hà Nội
Middle Java Developer,Công ty Cổ phần Phần mềm Việt Quốc tế (VSII),20 - 30 triệu VND,Hà Nội
Marketing Ads FB/Tiktok Không Yêu Cầu Kinh Nghiệm,CÔNG TY TNHH NGHIÊN CỨU VÀ PHÁT TRIỂN CAO VIỆT HOÀNG,9 - 30 triệu VND,Hà Nội
Kỹ Thuật Viên,CÔNG TY CỔ PHẦN THƯƠNG MẠI VÀ DỊCH VỤ THÀNH BẮC,8 - 15 triệu VND,Hồ Chí Minh
Fresher React,Công Ty Cổ Phần OWS Việt Nam,5 - 10 triệu VND,Hà Nội
IT Helpdesk / IT Support,Công ty TNHH Tổng công ty Công nghệ & Giải pháp CMC,12 triệu VND,Hà Nội
Golang Fullstack Developer,CÔNG TY CỔ PHẦN MỸ PHẨM SACHI - CHI NHÁNH SACHICO,18 - 35 triệu VND,Hồ Chí Minh
Senior Quality Controller,Công ty TNHH Phần Mềm Dsoft,15 - 30 triệu VND,Hồ Chí Minh
DevOps Engineer,Công ty Cổ phần Chứng nhận và Giám định Quốc tế ISOCERT,25 - 35 triệu VND,Hà Nội
Nhân Viên Quay Dựng Video ( Video Editor ),CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ VÀ PHÁT TRIỂN NHẤT HÀO,15 - 30 triệu VND,Hồ Chí Minh
Java Developer,Công ty TNHH CMC GLOBAL,thoả thuận,Hà Nội
Business Analyst,NTQ Solution,35 triệu VND,Hà Nội
"Java Developer (Microservice, Spring Boot)",CÔNG TY CỔ PHẦN TƯ VẤN CÔNG NGHỆ NGS,20 - 35 triệu VND,Hà Nội
Sale Support,CÔNG TY CỔ PHẦN TƯ VẤN CÔNG NGHỆ NGS,16 triệu VND,Hà Nội
Kỹ Sư Triển Khai Hệ Thống (System Engineer),CÔNG TY CỔ PHẦN TƯ VẤN CÔNG NGHỆ NGS,35 triệu VND,Hà Nội
Intern Mobile App Developer,CÔNG TY TNHH CÔNG NGHỆ ALADIN,3 triệu VND,Hà Nội
Intern Graphic Design,CÔNG TY CỔ PHẦN EMDDI,thoả thuận,Hà Nội
Kỹ Sư Triển Khai Dự Án,Công ty cổ phần công nghệ - viễn thông Elcom,thoả thuận,Hồ Chí Minh
IT Support Cum System Admin,Công ty Cổ phần VNEXT SOFTWARE,17 triệu VND,Đà Nẵng
Sale Admin,Công ty Cổ phần Công nghệ Heno,8 - 13 triệu VND,Hà Nội
Business Development (IT/Marketing Service),CÔNG TY CỔ PHẦN GOLDEN OWL SOLUTIONS,12 - 18 triệu VND,Hồ Chí Minh
IT Business Analyst,CÔNG TY TNHH CÔNG NGHỆ STARTECH AI,30 triệu VND,Cần Thơ
Backend Golang Leader,Công Ty Cổ Phần Công Nghệ VMO Holdings,thoả thuận,Hà Nội
Kỹ Thuật Viên Dịch Vụ Mạng - Không Cần Kinh Nghiệm,Công ty Cổ phần viễn thông FPT,8 - 15 triệu VND,Quảng Nam
Giám Sát Viên Camera,Công ty TNHH SX HTD Bình Tiên (Biti's) - Chi nhánh Tiên Phong,thoả thuận,Hồ Chí Minh
NodeJS Developer (Junior/ Middle),XIPAT FLEXIBLE SOLUTIONS COMPANY LIMITED,10 - 30 triệu VND,Hà Nội
CVCC Phân Tích Chất Lượng Thu Hồi Nợ Tài Chính Số,NGÂN HÀNG THƯƠNG MẠI CỔ PHẦN TIÊN PHONG - TPBANK,thoả thuận,Hồ Chí Minh
Kỹ Sư Thiết Kế M&E,Chi nhánh kỹ thuật Viettel Kon Tum - Tổng Công ty Cổ phần Công trình Viettel,10 - 18 triệu VND,Kon Tum
Manual Tester - Tiếng Nhật Giao Tiếp Tốt,Công Ty Cổ Phần Công Nghệ VMO Holdings,18 - 23 triệu VND,Hà Nội
Magento Developer,"Magenest.,JSC",thoả thuận,Hồ Chí Minh
Golang Developer (Junior/ Middle),XIPAT FLEXIBLE SOLUTIONS COMPANY LIMITED,thoả thuận,Hà Nội
Java Developer - Tiếng Anh Giao Tiếp Tốt,Công Ty Cổ Phần Công Nghệ VMO Holdings,thoả thuận,Hà Nội
Senior Monetization,Công Ty Cổ Phần Đầu Tư Và Phát Triển Công Nghệ Proxglobal,25 - 40 triệu VND,Hà Nội
Lập Trình Viên PHP,CÔNG TY CỔ PHẦN CÔNG NGHỆ GIÁO DỤC GITIHO VIỆT NAM,15 - 20 triệu VND,Hà Nội
Quản Lý Dự Án,Công ty TNHH Công Nghệ Nguyên Lộc,15 - 18 triệu VND,Hà Nội
Kỹ Sư Giám Sát Cơ Điện,Công ty Cổ Phần Viễn Thông và Công Nghệ thông minh,thoả thuận,Hà Nội
Tester (Junior),XIPAT FLEXIBLE SOLUTIONS COMPANY LIMITED,9 - 15 triệu VND,Hà Nội
Tester,CÔNG TY CỔ PHẦN TCOM,10 - 20 triệu VND,Hà Nội
Nhân Viên Kinh Doanh,CÔNG TY TNHH ZEUS ENGINEERING,8 - 20 triệu VND,Bà Rịa-Vũng Tàu
Senior QA Engineer,VĂN PHÒNG ĐẠI DIỆN STYL SOLUTIONS PTE. LTD. TẠI THÀNH PHỐ HỒ CHÍ MINH,thoả thuận,Hồ Chí Minh
PHP Software Engineer (Magento),Công Ty TNHH Movi,20 - 30 triệu VND,Hồ Chí Minh
IT Comtor (Tiếng Nhật),Công Ty Cổ Phần NCCPLUS Việt Nam,thoả thuận,Hà Nội & 2 nơi khác
